Time;Channel A
(ms);(mV)

-0,03030595;-202,20040000
-0,02966595;-197,80570000
-0,02902595;-197,80570000
-0,02838595;-197,80570000
-0,02774595;-197,80570000
-0,02710595;-197,80570000
-0,02646595;-197,80570000
-0,02582595;-197,80570000
-0,02518595;-197,80570000
-0,02454595;-197,80570000
-0,02390595;-197,80570000
-0,02326595;-197,80570000
-0,02262595;-197,80570000
-0,02198595;-197,80570000
-0,02134595;-202,20040000
-0,02070595;-197,80570000
-0,02006595;-197,80570000
-0,01942595;-202,20040000
-0,01878595;-202,20040000
-0,01814595;-197,80570000
-0,01750595;-202,20040000
-0,01686595;-197,80570000
-0,01622595;-197,80570000
-0,01558595;-197,80570000
-0,01494595;-202,20040000
-0,01430595;-197,80570000
-0,01366595;-197,80570000
-0,01302595;-202,20040000
-0,01238595;-202,20040000
-0,01174595;-202,20040000
-0,01110595;-197,80570000
-0,01046595;-202,20040000
-0,00982595;-202,20040000
-0,00918595;-202,20040000
-0,00854595;-197,80570000
-0,00790595;-202,20040000
-0,00726595;-197,80570000
-0,00662595;-197,80570000
-0,00598595;-197,80570000
-0,00534595;-202,20040000
-0,00470595;-197,80570000
-0,00406595;-197,80570000
-0,00342595;-197,80570000
-0,00278595;-202,20040000
-0,00214595;-197,80570000
-0,00150595;-149,43390000
-0,00086595;-26,33747000
-0,00022595;79,14975000
0,00041405;136,31090000
0,00105405;167,08880000
0,00169405;184,66750000
0,00233405;189,06210000
0,00297405;193,45680000
0,00361405;193,45680000
0,00425405;193,45680000
0,00489405;193,45680000
0,00553405;197,85150000
0,00617405;193,45680000
0,00681405;193,45680000
0,00745405;193,45680000
0,00809405;193,45680000
0,00873405;193,45680000
0,00937405;193,45680000
0,01001405;193,45680000
0,01065405;193,45680000
0,01129405;193,45680000
0,01193405;193,45680000
0,01257405;197,85150000
0,01321405;193,45680000
0,01385405;193,45680000
0,01449405;197,85150000
0,01513405;193,45680000
0,01577405;197,85150000
0,01641405;193,45680000
0,01705405;193,45680000
0,01769405;193,45680000
0,01833405;193,45680000
0,01897405;193,45680000
0,01961405;193,45680000
0,02025405;193,45680000
0,02089405;193,45680000
0,02153405;193,45680000
0,02217405;197,85150000
0,02281405;197,85150000
0,02345405;193,45680000
0,02409405;193,45680000
0,02473405;193,45680000
0,02537405;193,45680000
0,02601405;193,45680000
0,02665405;193,45680000
0,02729405;193,45680000
0,02793405;193,45680000
0,02857405;193,45680000
0,02921405;197,85150000
0,02985405;193,45680000
0,03049405;193,45680000
0,03113405;197,85150000
0,03177405;193,45680000
0,03241405;193,45680000
0,03305405;193,45680000
0,03369405;197,85150000
0,03433405;193,45680000
0,03497405;197,85150000
0,03561405;193,45680000
0,03625405;193,45680000
0,03689405;193,45680000
0,03753405;197,85150000
0,03817405;197,85150000
0,03881405;193,45680000
0,03945405;193,45680000
0,04009405;197,85150000
0,04073405;193,45680000
0,04137405;197,85150000
0,04201405;193,45680000
0,04265405;193,45680000
0,04329405;193,45680000
0,04393405;193,45680000
0,04457405;197,85150000
0,04521405;193,45680000
0,04585405;193,45680000
0,04649405;197,85150000
0,04713405;197,85150000
0,04777405;193,45680000
0,04841405;197,85150000
0,04905405;193,45680000
0,04969405;193,45680000
0,05033405;193,45680000
0,05097405;193,45680000
0,05161405;193,45680000
0,05225405;197,85150000
0,05289405;193,45680000
0,05353405;193,45680000
0,05417405;197,85150000
0,05481405;193,45680000
0,05545405;193,45680000
0,05609405;197,85150000
0,05673405;193,45680000
0,05737405;193,45680000
0,05801405;197,85150000
0,05865405;193,45680000
0,05929405;193,45680000
0,05993405;197,85150000
0,06057405;193,45680000
0,06121405;197,85150000
0,06185405;197,85150000
0,06249405;197,85150000
0,06313405;197,85150000
0,06377405;193,45680000
0,06441405;193,45680000
